use,keyword,pref_label,synonyms,definition,class
y,adsorption,Adsorption,"('Adsorption',)","('The adhesion of a gas, liquid or dissolved solid chemical of interest onto a solid surface.',)",Thesaurus:C157206
,adsorption,Adsorption,"('Adsorptions',)","('The adhesion of gases, liquids, or dissolved solids onto a surface. It includes adsorptive phenomena of bacteria and viruses onto surfaces as well. ABSORPTION into the substance may follow but not necessarily.',)",MESH:D000327
,adsorption,adsorption,(),"('A material accumulation process during which material adheres to a solid or liquid surface.',)",ENVO:06105021
,adsorption,adsorption,(),"('adhesion in an extremely thin layer of molecules (as of gases, solutes, or liquids) to the surfaces of solid bodies or liquids with which they are in contact.',)",http://purl.bioontology.org/ontology/CSP/2322-7364
,age,Age,"('Current chronological age', 'Age  descriptor', 'Age, function', 'Has age')","('How long something has existed; elapsed time since birth. (source : NCI)',)",http://doe-generated-ontology.com/OntoAD#C0001779
,age,Age,"('Postnatal Age', 'Chronological Age', 'AGE', 'Age', 'Aged', 'age')","('How long something has existed; elapsed time since birth.',)",NCIT:C25150
,age,Age,"('Postnatal Age', 'Chronological Age', 'AGE', 'Age', 'Aged', 'age')","('How long something has existed; elapsed time since birth.',)",Thesaurus:C25150
y,age,Age,"('Postnatal Age', 'Chronological Age', 'AGE', 'Age', 'Aged', 'age')","('How long something has existed; elapsed time since birth.',)",Thesaurus:C25150
,age,N-acylglucosamine 2-epimerase,"('renin-binding protein', 'GlcNAc 2-epimerase', 'RENBP', 'RnBP', 'N-acetyl-D-glucosamine 2-epimerase', 'AGE')","('A protein that is a translation product of the human RENBP gene or a 1:1 ortholog thereof.', 'Category=gene.')",PR:000013884
,age,age,(),"('A temporal measurement of the time period elapsed since an identifiable point in the life cycle of an organism. If a developmental stage is specified, the identifiable point would be the beginning of that stage. Otherwise the identifiable point must be specified such as planting (e.g. 3 days post planting).',)",http://www.ebi.ac.uk/efo/EFO:0000246
,age,age,(),"('A time quality inhering in a bearer by virtue of how long the bearer has existed.',)",PATO:0000011
,age,age,(),"('Epochs are divided into ages [millions of years] [Wikipedia]',)",http://sweetontology.net/stateTime/Age
y ,agreement,Agreement,"('Agreement',)","('The act of agreeing to a plan, protocol, or arrangement. Also used to describe a harmony of opinion.',)",Thesaurus:C25369
,agreement,Agreement,"('Agreement',)","('The act of agreeing to a plan, protocol, or arrangement. Also used to describe a harmony of opinion.',)",Thesaurus:C25369
y,air,Air,"('AIR', 'Air')","(""A mixture of gases making up the earth's atmosphere, consisting mainly of nitrogen, oxygen, argon, and carbon dioxide."",)",Thesaurus:C73434
,air,Air,"('AIR', 'Air')","(""A mixture of gases making up the earth's atmosphere, consisting mainly of nitrogen, oxygen, argon, and carbon dioxide."",)",Thesaurus:C73434
,air,Air,(),"(""A mixture of gases making up the earth's atmosphere, consisting mainly of nitrogen, oxygen, argon, and carbon dioxide."",)",NCIT:C73434
,air,Air,(),"(""The mixture of gases present in the earth's atmosphere consisting of oxygen, nitrogen, carbon dioxide, and small amounts of other gases."",)",MESH:D000388
,air,aerotaxis receptor,"('air', 'yqjJ', 'aer')","('A protein that is a translation product of the Escherichia coli K-12 aer gene or a 1:1 ortholog thereof.', 'Category=gene.')",PR:000022063
,air,aerotaxis receptor,"('air', 'yqjJ', 'aer')","('A protein that is a translation product of the aer gene or a 1:1 ortholog thereof.', 'Category=gene. Flag=automatic.')",PR:000022063
,air,air,(),"(""[GEMET] A predominantly mechanical mixture of a variety of individual gases forming the earth's enveloping atmosphere."",)",http://vocabs.lter-europe.net/EnvThes/23
,air,air,(),"('The mixture of gases (roughly (by molar content/volume: 78% nitrogen, 20.95% oxygen, 0.93% argon, 0.038% carbon dioxide, trace amounts of other gases, and a variable amount (average around 1%) of water vapor) that surrounds the planet Earth. [ENVO]',)",ENVO:00002005
,air,air,(),"('The mixture of gases (roughly (by molar content/volume: 78% nitrogen, 20.95% oxygen, 0.93% argon, 0.038% carbon dioxide, trace amounts of other gases, and a variable amount (average around 1%) of water vapor) that surrounds the planet Earth.',)",ENVO:00002005
,amplify,"2,6-diisopropylnaphthalene","('2,6-bis(1-methylethyl)naphthalene', '2,6-DIPN', 'Amplify', '2,6-di(propan-2-yl)naphthalene')","('A member of the class of napthalenes that is naphthalene which is substituted by an isopropyl group at positions 2 and 6. It is a plant growth regulator which inhibits the sprouting of potatoes during storage.',)",CHEBI:145669
y ,amplitude,Amplitude,"('Amplitude',)","('The magnitude of an oscillation.',)",Thesaurus:C70831
,amplitude,Amplitude,"('Amplitude',)","('The magnitude of an oscillation.',)",Thesaurus:C70831
,amplitude,amplitude,(),"(""A physical quality of a process inhering in a bearer by virtue of the size of the bearer's maximum displacement from the 'normal' position, when periodic motion is taking place."",)",PATO:0000080
,amt,CG10226,"('DmelCG10226', 'AMT')","('The protein-coding gene CG10226 located on the chromosome 3L mapped at 65A10-65A10.',)",NCBIGene:38725
,amt,"aminomethyltransferase, mitochondrial","('GCST', 'glycine cleavage system T protein', 'AMT', 'GCVT')","('A protein that is a translation product of the AMT gene or a 1:1 ortholog thereof.', 'Category=gene. Flag=automatic.')",PR:000004005
,amt,"aminomethyltransferase, mitochondrial (mouse)","('Amt', 'GCVT (mouse)', 'mAMT', 'glycine cleavage system T protein (mouse)')","('An aminomethyltransferase, mitochondrial that is encoded in the genome of mouse.', 'Category=organism-gene.')",PR:Q8CFA2
y ,analyte,Analyte,"('Analyte',)","('The sample or material being subjected to analysis.',)",Thesaurus:C128639
,analyte,Analyte,"('Analyte',)","('The sample or material being subjected to analysis.',)",Thesaurus:C128639
,analyte,analyte,(),"('<p>The target of an Observation action. Links an observation to a Role whose player is the substance or most specific component entity (material, micro-organism, etc.) being measured within the subject.</p><i>Examples:</i>A ""plasma porcelain substance concentration"" has analyte a Role with player substance Entity ""porcelain"".<i>UsageNotes:</i>The Role that this participation connects to may be any Role whose player is that substance measured. Very often, the scoper may indicate the system in which the component is being measured. E.g., for ""plasma porcelain"" the scoper could be ""Plasma"".',)",http://purl.bioontology.org/ontology/HL7/C0443354
,analyte,analyte,(),"('The component of a system to be analysed.',)",CHMO:0002467
,analyte,analyte role,"('analyte',)","('The component of a system to be analyzed. [CHMO]',)",http://purl.allotrope.org/ontologies/role#AFRL:0000127
y,analyte name,analyte name,"('substance name',)","('The analyte name is a name of a material that has the role of an analyte in an analysis assay. [Allotrope]',)",http://purl.allotrope.org/ontologies/result#AFR:0001604
y,analyte type,Analyte Type,"('analyte type', 'analyte_type', 'Analyte Type')","('The type of biospecimen subjected to analysis.',)",Thesaurus:C156434
,analyte type,Analyte Type,"('analyte type', 'analyte_type', 'Analyte Type')","('The type of biospecimen subjected to analysis.',)",Thesaurus:C156434
,analytical,Analysis,"('ANALYSIS', 'Analysis', 'Analytical', 'Analyzed', 'analysis')","('Examination and interpretation; the process of identifying an issue to be understood and addressed, modelling the issue, investigating the model results, interpreting the results, and possibly making a recommendation. The concept also refers to the examination and study of a whole in terms of the parts composing it.',)",NCIT:C25391
y,analytical,Analysis,"('ANALYSIS', 'Analysis', 'Analytical', 'Analyzed', 'analysis')","('Examination and interpretation; the process of identifying an issue to be understood and addressed, modelling the issue, investigating the model results, interpreting the results, and possibly making a recommendation. The concept also refers to the examination and study of a whole in terms of the parts composing it.',)",Thesaurus:C25391
,analytical,Analysis,"('ANALYSIS', 'Analysis', 'Analytical', 'Analyzed', 'analysis')","('Examination and interpretation; the process of identifying an issue to be understood and addressed, modelling the issue, investigating the model results, interpreting the results, and possibly making a recommendation. The concept also refers to the examination and study of a whole in terms of the parts composing it.',)",Thesaurus:C25391
y,antibody,Antibody,"('Ab', 'Antibodies', 'Antibody', 'antibody')","('A type of protein made by B lymphocytes in response to a foreign substance (antigen). Each antibody only binds to a specific antigen, helping to destroy the antigen directly or by assisting white blood cells to destroy the antigen.',)",Thesaurus:C16295
,antibody,Antibody,"('Ab', 'Antibodies', 'Antibody', 'antibody')","('A type of protein made by B lymphocytes in response to a foreign substance (antigen). Each antibody only binds to a specific antigen, helping to destroy the antigen directly or by assisting white blood cells to destroy the antigen.',)",Thesaurus:C16295
,antibody,Antibody,(),"('A type of protein made by B lymphocytes in response to a foreign substance (antigen). Each antibody only binds to a specific antigen, helping to destroy the antigen directly or by assisting white blood cells to destroy the antigen.',)",NCIT:C16295
,antibody,B cell receptor complex,"('antibody', 'B cell receptor accessory molecule complex', 'B lymphocyte receptor complex', 'B-cell receptor complex', 'BCR complex', 'immunoglobulin complex, membrane bound', 'B-lymphocyte receptor complex')","('An immunoglobulin complex that is present in the plasma membrane of B cells and that in its canonical form is composed of two identical immunoglobulin heavy chains and two identical immunoglobulin light chains and a signaling subunit, a heterodimer of the Ig-alpha and Ig-beta proteins.', 'Note that an immunoglobulin complex has the function of antigen binding if a suitable antigen is available.')",GO:0019815
,antibody,antibody,"('skin sensitizing antibody', 'polyclonal antibody')","('infection-fighting protein molecule in blood or secretory fluids that tags, neutralizes, and helps destroy pathogenic microorganisms such as bacteria or viruses and toxins; they are generally known as immunoglobulins, and are made and secreted by B-lymphocytes in response to stimulation by antigens; each specific antibody binds only to the specific antigen that stimulated its production.',)",http://purl.bioontology.org/ontology/CSP/1556-0884
y ,antibody isotype,Antibody Isotype,"('Antibody Isotype', 'Immunoglobulin Isotype', 'Isotype')","('The genetic or structural type for the constant region of an antibody.',)",Thesaurus:C73483
,antibody isotype,Antibody Isotype,"('Antibody Isotype', 'Immunoglobulin Isotype', 'Isotype')","('The genetic or structural type for the constant region of an antibody.',)",Thesaurus:C73483
y,antigen,Antigen,"('Antigen', 'Antigens', 'antigen')","('Any substance, generally a protein, that stimulates the immune system and elicits an immune response.  Recognition by the immune system elicits either a T-lymphocyte response, recognizing processed antigens, or a B-lymphocyte response, producing antibodies that bind to unprocessed antigens.',)",Thesaurus:C268
,antigen,Antigen,"('Antigen', 'Antigens', 'antigen')","('Any substance, generally a protein, that stimulates the immune system and elicits an immune response.  Recognition by the immune system elicits either a T-lymphocyte response, recognizing processed antigens, or a B-lymphocyte response, producing antibodies that bind to unprocessed antigens.',)",Thesaurus:C268
,antigen,Antigen,(),"('Any substance, generally a protein, that stimulates the immune system and elicits an immune response.  Recognition by the immune system elicits either a T-lymphocyte response, recognizing processed antigens, or a B-lymphocyte response, producing antibodies that bind to unprocessed antigens.',)",NCIT:C268
,antigen,Antigens,"('Antigen',)","('Substances that are recognized by the immune system and induce an immune reaction.',)",MESH:D000941
,antigen,antigen,"('antigenic determinant', 'antigen registry', 'immunogen', 'antigen resource', 'epitope')","('any substance recognized by the immune system and inducing an immune reaction.',)",http://purl.bioontology.org/ontology/CSP/1556-6503
,aptamer,Aptamer,"('Aptamer',)","('Double-stranded DNA or single-stranded RNA oligonucleotide sequences with the capacity to recognize target molecules with high affinity and specificity. Fundamentally distinct from antibodies, aptamers mimic their properties and have emerged as a promising class of molecules in both therapeutic and diagnostic formats. In having small size (8-15 kDa) relative to antibodies (150 kDa), aptamers are candidates for rapid tumor penetration and blood clearance.',)",Thesaurus:C1749
,aptamer,Aptamer,"('Aptamer',)","('Double-stranded DNA or single-stranded RNA oligonucleotide sequences with the capacity to recognize target molecules with high affinity and specificity. Fundamentally distinct from antibodies, aptamers mimic their properties and have emerged as a promising class of molecules in both therapeutic and diagnostic formats. In having small size (8-15 kDa) relative to antibodies (150 kDa), aptamers are candidates for rapid tumor penetration and blood clearance.',)",Thesaurus:C1749
,aptamer,aptamer,"('aptamers',)","('An oligonucleotide or peptide engineered to bind to a specific target molecule.',)",CHEBI:140488
y,aptamer,aptamer,(),"('DNA or RNA molecules that have been selected from random pools based on their ability to bind other molecules.',)",SO:0000031
,aptamer,oligonucleotide,"('aptamer', 'antisense oligonucleotide')","('polymers made up of a small number of nucleotides.',)",http://purl.bioontology.org/ontology/CSP/2111-7605
,area,Area,"('AREA', 'Area')","('The extent of a 2-dimensional surface enclosed within a boundary.',)",NCIT:C25244
y,area,Area,"('AREA', 'Area')","('The extent of a 2-dimensional surface enclosed within a boundary.',)",Thesaurus:C25244
,area,Area,"('AREA', 'Area')","('The extent of a 2-dimensional surface enclosed within a boundary.',)",Thesaurus:C25244
,area,Geographic Locations,"('geographic site', 'GEOGR LOCATIONS', 'region', 'Geographic Region', 'Geographic Area', 'Area', 'regions')","('All of the continents and every country situated within, the UNITED STATES and each of the constituent states arranged by region, CANADA and each of its provinces, AUSTRALIA and each of its states, the major bodies of water and major islands on both hemispheres, and selected major cities. Although the geographic locations are not printed in INDEX MEDICUS as main headings, in indexing they are significant in epidemiologic studies and historical articles and for locating administrative units in ed (source : MSH)',)",http://doe-generated-ontology.com/OntoAD#C0017446
,area,area,"('area result', 'area (datum)')","('An area (datum) is a quality quantification facet that quantifies the two-dimensional extend of an object. [Allotrope]',)",http://purl.allotrope.org/ontologies/result#AFR:0002076
,area,area,(),"(""A 2-D extent quality inhering in a bearer by virtue of the bearer's two dimensional extent."",)",PATO:0001323
y ,assay,Assay,"('Assay', 'assay')","('A qualitative or quantitative analysis performed to determine the amount of a particular constituent in a sample or the biological or pharmacological properties of a drug.',)",Thesaurus:C60819
,assay,Assay,"('Assay', 'assay')","('A qualitative or quantitative analysis performed to determine the amount of a particular constituent in a sample or the biological or pharmacological properties of a drug.',)",Thesaurus:C60819
,assay,analysis,"('chemical analysis', 'assay', 'determination')","('Used for the identification or quantitative determination of a substance or its constituents and metabolites; includes the analysis of air, water, or other environmental carrier. It excludes the chemical analysis of tissues, tumors, body fluids, organisms, and plants for which ""chemistry"" is used. The concept applies to both methodology and results. For analysis of substances in blood, cerebrospinal fluid, and urine the specific subheading designating the fluid is used.',)",MESH:Q000032
,assay,assay,"('analysis',)","('A planned process with the objective to produce information about the material entity that is the evaluand, by physically examining it or its proxies. [OBI]',)",http://purl.allotrope.org/ontologies/process#AFP:0002680
,assay,assay,"('measurement method',)","('A planned process with the objective to produce information about the material entity that is the evaluant, by physically examining it or its proxies.',)",OBI:0000070
,assay,assay,"('measuring', 'scientific observation', 'Laboratory test')","('A planned process with the objective to produce information about the material entity that is the evaluant, by physically examining it or its proxies.',)",OBI:0000070
,assay,assay,"('measuring', 'scientific observation', 'any method', 'study assay')","('A planned process that has the objective to produce information about a material entity (the evaluant) by examining it.',)",OBI:0000070
,assay,assay,(),"('A planned process with the objective to produce information about the material entity that is the evaluant, by physically examining it or its proxies.', 'A planned process that has the objective to produce information about a material entity (the evaluant) by examining it.')",OBI:0000070
,assay,assay,(),"('A planned process with the objective to produce information about the material entity that is the evaluant, by physically examining it or its proxies.',)",OBI:0000070
,assay result,Assay Result,"('Result of Assay', 'Assay Result', 'Outcome of Assay', 'Assay Outcome')","('The outcome of an assay.',)",Thesaurus:C191800
,assay result,Assay Result,"('Result of Assay', 'Assay Result', 'Outcome of Assay', 'Assay Outcome')","('The outcome of an assay.',)",Thesaurus:C191800
y,assay result,assay result,"('assay output', 'experimental result', 'result')","('The final outcome reported for a measured or computed quantity, after performing a measuring procedure including all sub procedures and evaluations. [IUPAC, Allotrope]',)",http://purl.allotrope.org/ontologies/result#AFR:0000207
y,auxiliary electrode,auxiliary electrode,"('counter electrode',)","('An electrode that serves merely to carry the current flowing through an electrochemical cell.',)",CHMO:0002358
y ,backward,Retrograde,"('Backward', 'Retrograde')","('Moving in a direction contrary to the usual one.',)",Thesaurus:C50406
,backward,Retrograde,"('Backward', 'Retrograde')","('Moving in a direction contrary to the usual one.',)",Thesaurus:C50406
,backward,inverted,"('backward', 'reversed')","(""An oriented quality inhering in a bearer by virtue of the bearer's being reversed in position, order, or condition."",)",PATO:0000625
,batch,Batch,"('Batch',)","('A quantity of people or things treated or regarded as a group, especially when subdivided from a larger group.',)",Thesaurus:C67073
,batch,Batch,"('Batch',)","('A quantity of people or things treated or regarded as a group, especially when subdivided from a larger group.',)",Thesaurus:C67073
y,batch,batch role,"('batch', 'lot', 'lot role')","('Batch role is a product role of a portion of material that is intended to have uniform character and quality, within specified limits, and is produced according to a single manufacturing order during the same cycle of manufacture. [Allotrope, CFR21]',)",http://purl.allotrope.org/ontologies/role#AFRL:0000361
y ,batch number,Batch Number,"('Batch Identifier', 'Batch Number', 'BATCH', 'Batch Code')","('A distinctive alpha-numeric identification code assigned by the manufacturer or distributor to a specific quantity of manufactured material or product that is produced in a manner that is expected to render it homogeneous.',)",Thesaurus:C104504
,batch number,Batch Number,"('Batch Identifier', 'Batch Number', 'BATCH', 'Batch Code')","('A distinctive alpha-numeric identification code assigned by the manufacturer or distributor to a specific quantity of manufactured material or product that is produced in a manner that is expected to render it homogeneous.',)",Thesaurus:C104504
,batch number,Batch Number,(),"('A distinctive alpha-numeric identification code assigned by the manufacturer or distributor to a specific quantity of manufactured material or product that is produced in a manner that is expected to render it homogeneous.',)",Thesaurus:C104504
y,biorecognition,Prediction and recognition,(),"('Predict, recognise, detect or identify some properties of a biomolecule.')",http://edamontology.org/operation_2423
,batch number,lot number,"('batch number',)","('A lot number is an information content entity which is an identical sequence of character borne by part of manufactured product or its packaging for each instances of a product class in a discrete batch of an item. [IAO]',)",IAO:0000132
,binder,Binder Excipient,"('binding agent', 'Binder Excipient', 'Binder')","('An inactive ingredient of the solid pharmaceutical dosage form added to cement the active and inert components of tablets together to maintain cohesive and discrete portions. These are especially important in the production of time-release products. Binders provide the matrix from which the drug is gradually secreted. Binding agents which have adhesive properties are important excipients, especially for lozenges and tablets. The choice of the particular binder or thickening agent is dependent upon the desired properties of adhesive strength and thickness. Thus, one would be a better agent for a lozenge when slow dissolution in the mouth is desirable whereas another would provide more rapid disintegration for other purposes. The commonly used binder excipients in U.S.-manufactured drug products are microcrystalline cellulose and starch.',)",Thesaurus:C42647
,binder,Binder Excipient,"('binding agent', 'Binder Excipient', 'Binder')","('An inactive ingredient of the solid pharmaceutical dosage form added to cement the active and inert components of tablets together to maintain cohesive and discrete portions. These are especially important in the production of time-release products. Binders provide the matrix from which the drug is gradually secreted. Binding agents which have adhesive properties are important excipients, especially for lozenges and tablets. The choice of the particular binder or thickening agent is dependent upon the desired properties of adhesive strength and thickness. Thus, one would be a better agent for a lozenge when slow dissolution in the mouth is desirable whereas another would provide more rapid disintegration for other purposes. The commonly used binder excipients in U.S.-manufactured drug products are microcrystalline cellulose and starch.',)",Thesaurus:C42647
,binder,binder,"('reaper binder',)","('A harvest implement for grain crops which cuts the stems and binds the stems into bundles or sheaves. The binder is now largely obsolete replaced by the combine harvester.',)",AGRO:00002026
,binding,Binding,"('Bind', 'Binding', 'Bound')","('The action of attracting something and forming a bond with it.',)",Thesaurus:C82888
,binding,Binding,"('Bind', 'Binding', 'Bound')","('The action of attracting something and forming a bond with it.',)",Thesaurus:C82888
,binding,Binding (Molecular Function),"('Binding', 'Molecular Interaction Process', 'Molecular Interaction', 'Physical Interaction')","(""The selective, non-covalent, often stoichiometric, interaction of a molecule with one or more specific sites on another molecule. [GOC:ceb, GOC:mah, ISBN:0198506732 'Oxford Dictionary of Biochemistry and Molecular Biology'] (source : GO)"",)",http://doe-generated-ontology.com/OntoAD#C1167622
,binding,binding,"('ligand',)","('The selective, non-covalent, often stoichiometric, interaction of a molecule with one or more specific sites on another molecule.', ""For ligands that bind to signal transducing receptors, consider the molecular function term 'receptor binding ; GO:0005102' and its children."")",GO:0005488
y,binding,binding,"('ligand',)","('The selective, non-covalent, often stoichiometric, interaction of a molecule with one or more specific sites on another molecule.', ""Note that this term is in the subset of terms that should not be used for direct, manual gene product annotation. Please choose a more specific child term, or request a new one if no suitable term is available. For ligands that bind to signal transducing receptors, consider the molecular function term 'receptor binding ; GO:0005102' and its children."")",GO:0005488
,binding,binding,"('ligand',)","('The selective, non-covalent, often stoichiometric, interaction of a molecule with one or more specific sites on another molecule.',)",GO:0005488
y,blank,blank role,"('blank sample role', 'blank sample', 'blank')","('An blank role is a sample role of a material that does not contain any analyte. [Allotrope]',)",http://purl.allotrope.org/ontologies/role#AFRL:0000259
,box,Box,"('BOX', 'Box')","('A square or rectangular vessel, usually made of cardboard or plastic.',)",Thesaurus:C43178
,box,Box,"('BOX', 'Box')","('A square or rectangular vessel, usually made of cardboard or plastic.',)",Thesaurus:C43178
,box,Box,(),"('A square or rectangular vessel, usually made of cardboard or plastic.',)",NCIT:C43178
,box,Gclm,"('DmGCLM', 'Gcsl', 'DmGCSl', 'CG4919', 'GCLm', 'GCSl', 'DmelCG4919', '4919', 'box')","('The protein-coding gene Gclm (Glutamate-cysteine ligase modifier subunit) located on the chromosome 3R mapped at 94C1-94C1.',)",NCBIGene:248194
y,calculation,Calculation,"('CALCULATION', 'Calculation', 'Calculate', 'Calculated')","('The procedure or activity of determining something by mathematical or logical methods.',)",Thesaurus:C54125
,calculation,Calculation,"('CALCULATION', 'Calculation', 'Calculate', 'Calculated')","('The procedure or activity of determining something by mathematical or logical methods.',)",Thesaurus:C54125
,calculation,calculation,"('computation', 'computing')","('A calculation is a process by which a data transformation technique that involves problem solving for numbers or quantities is performed. [Allotrope]',)",http://purl.allotrope.org/ontologies/process#AFP:0003282
y,calibration,Calibration,"('CALIBRATION', 'Calibration')","('The act of checking or adjusting (by comparison with a standard) the accuracy of a measuring instrument.',)",Thesaurus:C69187
,calibration,Calibration,"('CALIBRATION', 'Calibration')","('The act of checking or adjusting (by comparison with a standard) the accuracy of a measuring instrument.',)",Thesaurus:C69187
,calibration,Calibration,"('Calibrations',)","('Determination, by measurement or comparison with a standard, of the correct value of each scale reading on a meter or other measuring instrument; or determination of the settings of a control device that correspond to particular values of voltage, current, frequency or other output.',)",MESH:D002138
,calibration,calibration,(),"('Calibration is the comparison of measurement values delivered by a device under test with those of a calibration standard of known accuracy. [Wikipedia]',)",http://purl.allotrope.org/ontologies/process#AFP:0002389
,calibration,calibration,(),"('calibration in statistics refers to the process of ensuring that the predicted probabilities or scores from a statistical model accurately reflect the true probabilities or outcomes observed in the data. It is an essential aspect of predictive modeling to ensure the reliability and interpretability of model predictions, where the goal is to estimate the likelihood of certain events or outcomes.',)",STATO:0000652
,capacity,Capacity,"('ability', 'capacityQuantity')","('The amount that can be contained. It can refer to the volume that can be held, such as lung capacity, or the number of people that can be contained in a room or building. (source : NCI)',)",http://doe-generated-ontology.com/OntoAD#C1516240
y,capacity,Capacity,"('capacityQuantity', 'Capacity')","('The amount that can be contained.  It can refer to the volume that can be held, such as lung capacity, or the number of people that can be contained in a room or building.',)",Thesaurus:C25443
,capacity,Capacity,"('capacityQuantity', 'Capacity')","('The amount that can be contained.  It can refer to the volume that can be held, such as lung capacity, or the number of people that can be contained in a room or building.',)",Thesaurus:C25443
,capacity,capacity,(),"('[NCIT]*[ONTOAD] The amount that can be contained. It can refer to the volume that can be held, such as lung capacity, or the number of people that can be contained in a room or building. (source : NCI)',)",http://vocabs.lter-europe.net/EnvThes/10035
,carrier,Carrier Device,"('Carrier Device', 'Carrier')","('A device designed to facilitate the support, movement, or transport of another device or object.',)",Thesaurus:C49863
,carrier,Carrier Excipient,"('Carrier Excipient', 'Carrier')","('A substance within a formulation that is used to interact with and enhance the properties of active ingredients.',)",Thesaurus:C176645
,carrier,food additive carrier,"('food additive carriers', 'carrier', 'carriers')","('A food additive that is used to dilute, disperse or dissolve a food additive or nutrient without altering its function. Carriers are used to facilitate the handling or use of the food additive or nutrient.',)",CHEBI:78059
,carrier,transporter activity,"('carrier',)","('Enables the directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, accross or in between cells.', ""Some transporters, such as certain members of the SLC family, are referred to as 'carriers'; however GO uses carrier with a different meaning: a carrier binds to and transports the substance (see GO:0140104 molecular carrier activity), whereas a transporter forms some pore that allows the passing of molecules."")",GO:0005215
